#{"t_start": 1729361209.829303, "env_id": "None"}
r,l,t
0.053979,3,0.192782
-0.5,1,0.257636
-0.5,1,0.320466
-0.225071,2,0.385265
-0.174787,2,0.449394
-0.176397,2,0.977929
1.52646,7,1.058834
0.11224,3,1.129322
-0.5,1,1.193979
-0.5,1,1.258009
-0.5,1,1.321535
-0.178915,2,1.388201
-0.159676,2,1.457279
0.17576,3,1.527288
2.410541,9,1.613204
0.106267,3,1.682583
-0.5,1,1.745956
-0.193518,2,1.812749
-0.5,1,1.876832
0.154357,3,1.947134
0.760504,5,2.023686
-0.5,1,2.088244
2.480226,11,2.179917
-0.5,1,2.244665
-0.166157,2,2.311965
-0.5,1,2.376378
1.585584,8,2.462221
0.849546,5,2.537687
-0.5,1,2.601319
0.542155,4,2.673104
-0.158276,2,2.740013
-0.179674,2,2.806069
0.110922,3,2.875636
-0.18475,2,2.943069
0.787969,5,3.019109
-0.212319,2,3.085816
-0.5,1,3.150168
-0.5,1,3.214585
-0.183436,2,3.281622
0.398726,4,3.354347
-0.198277,2,3.430483
0.620493,5,3.513636
-0.178942,2,3.58648
2.599299,11,3.688392
-0.5,1,3.757952
0.81344,5,3.834484
1.2555,6,3.918633
-0.5,1,3.992226
-0.5,1,4.064353
1.514591,7,4.148393
-0.5,1,4.213394
-0.095293,3,4.290449
-0.5,1,4.365878
-0.179281,2,4.446654
0.117084,3,4.525757
0.924929,5,4.60404
0.743261,5,4.679398
1.922392,8,4.772231
-0.166272,2,4.845913
0.168845,3,4.917343
-0.5,1,4.988285
-0.5,1,5.052807
1.50043,7,5.13308
-0.5,1,5.203265
-0.156516,2,5.272762
-0.169378,2,5.341167
-0.5,1,5.405902
0.178788,3,5.478843
-0.226458,2,5.545681
-0.184392,2,5.620881
1.163204,6,5.706823
0.142406,3,5.776663
-0.154032,2,5.842937
-0.191143,2,5.910509
-0.164758,2,5.980491
-0.19695,2,6.062837
-0.5,1,6.139889
1.227804,6,6.232543
-0.154649,2,6.300185
0.868353,5,6.38042
0.506471,4,6.457264
0.191105,3,6.529521
-0.224443,2,6.601114
-0.5,1,6.666304
0.44898,4,6.739997
-0.166816,2,6.809144
0.720664,5,6.883975
0.106272,3,6.958249
0.736348,5,7.042425
-0.344265,2,7.118819
-0.166466,2,7.191948
-0.166121,2,7.262538
-0.5,1,7.327167
2.505329,10,7.416276
-0.15674,2,7.489371
1.568011,7,7.5697
-0.5,1,7.633999
1.164743,6,7.711614
0.174932,3,7.782288
0.569842,4,7.853344
-0.207417,2,7.920188
-0.5,1,8.07008
0.404304,4,8.145319
0.536028,4,8.220184
0.103984,3,8.290634
-0.5,1,8.354125
-0.5,1,8.41749
0.950024,6,8.497121
-0.179756,2,8.565994
-0.194753,2,8.633904
-0.5,1,8.69861
-0.179787,2,8.765462
1.872702,8,8.848788
-0.5,1,8.912686
-0.173401,2,8.981277
0.801401,5,9.05935
1.522882,7,9.139359
-0.5,1,9.203621
0.141403,3,9.272559
-0.5,1,9.33717
-0.5,1,9.400817
-0.170908,2,9.47379
-0.145056,2,9.543287
