#{"t_start": 1729549721.708162, "env_id": "None"}
r,l,t
0.221227,4,0.200398
0.451243,4,0.268044
0.027121,3,0.850249
-0.344569,3,0.916968
0.171069,3,0.981584
0.372148,4,1.046881
-0.193323,2,1.109411
0.092163,3,1.175747
-0.224721,2,1.24354
-0.30843,3,1.311666
-0.5,1,1.373568
-0.149527,4,1.442584
-0.5,1,1.507307
0.230919,4,1.573539
0.335096,4,1.640258
0.057716,3,1.703553
-0.032867,4,1.768848
-0.05816,3,1.832911
-0.5,1,1.893756
0.328834,4,1.964804
-0.00797,3,2.030987
-0.164951,2,2.100698
-0.5,1,2.168886
0.034436,3,2.24099
-0.058389,3,2.307137
0.004329,3,2.372421
0.112362,4,2.442119
0.282425,4,2.508975
-0.238879,2,2.572842
0.298048,4,2.640603
-0.5,1,2.703961
-0.154369,3,2.768226
-0.5,1,2.829588
0.782558,6,2.899685
-0.295193,2,2.962818
-0.224064,2,3.025605
-0.21602,2,3.091167
-0.153259,2,3.155355
0.775596,7,3.225847
0.127567,3,3.291952
-0.3799,2,3.354238
0.275168,4,3.426392
0.050497,3,3.492618
0.086637,3,3.556448
0.814298,6,3.624721
0.803703,5,3.692146
0.864382,5,3.759503
0.169613,3,3.825442
-0.5,1,3.88681
0.057326,3,3.950364
-0.508337,2,4.014732
-0.261897,2,4.07903
-0.216674,4,4.145628
-0.5,1,4.206728
-0.5,1,4.267559
0.283492,4,4.342337
0.686805,5,4.417035
-0.5,1,4.479786
0.094319,3,4.544196
-0.5,1,4.607014
0.201635,4,4.672277
-0.5,1,4.733705
0.114894,4,4.799256
-0.5,1,4.860568
0.505281,7,4.959092
0.630633,5,5.033048
0.501137,4,5.109164
-0.5,1,5.177103
-0.5,1,5.239661
-0.291695,2,5.306505
2.721233,13,5.384804
-0.163071,3,5.45307
-0.5,1,5.519246
0.929341,7,5.595969
0.44981,4,5.664889
0.31807,5,5.737952
0.292099,4,5.804373
0.776432,5,5.874337
0.520623,5,5.952928
0.586609,5,6.026537
-0.5,1,6.089844
-0.258372,2,6.152794
-0.5,1,6.217475
1.392462,9,6.291842
0.581747,6,6.36115
-0.205077,2,6.425316
0.382049,5,6.492619
-0.5,1,6.556641
0.276741,4,6.628917
-0.021294,3,6.697621
0.010577,3,6.763987
0.78477,5,6.831795
-0.366994,2,6.896166
