#{"t_start": 1729553081.504801, "env_id": "None"}
r,l,t
0.053979,3,0.216767
-0.150381,2,0.279007
-0.191831,2,0.34345
-0.5,1,0.402846
-0.174787,2,0.464728
0.106212,3,1.062449
-0.162241,2,1.131419
-0.5,1,1.198338
0.52726,4,1.268198
-0.174549,2,1.337979
-0.5,1,1.404217
-0.178915,2,1.474195
1.917939,8,1.557805
-0.056749,3,1.630457
-0.138661,2,1.703413
0.106267,3,1.777707
0.365602,4,1.852858
0.110379,3,1.926945
0.421499,4,2.000375
0.810106,5,2.071405
0.760504,5,2.142471
-0.5,1,2.205148
-0.5,1,2.266943
-0.175899,2,2.330422
-0.5,1,2.392089
0.412039,4,2.462352
-0.5,1,2.524943
1.425554,7,2.599506
-0.5,1,2.661223
-0.5,1,2.722826
-0.158276,2,2.78739
-0.5,1,2.85065
0.729387,5,2.92102
0.133743,3,2.990163
-0.5,1,3.051438
-0.5,1,3.112702
-0.5,1,3.174948
0.495068,4,3.244328
-0.5,1,3.305733
0.398726,4,3.374033
0.407934,4,3.441709
0.907459,6,3.514579
1.746641,8,3.591623
-0.5,1,3.65439
-0.5,1,3.7158
0.152508,3,3.783014
1.610673,7,3.858066
-0.5,1,3.927994
1.292258,6,4.009388
1.853175,8,4.095438
0.950259,6,4.176398
1.813078,9,4.257822
-0.5,1,4.328222
3.068356,12,4.42736
-0.191254,2,4.495726
-0.5,1,4.559456
-0.194971,2,4.623864
0.180642,3,4.692449
-0.5,1,4.755702
-0.5,1,4.8191
-0.18094,2,4.88567
0.880581,5,4.956592
0.825889,5,5.027231
-0.5,1,5.090371
0.18675,3,5.15796
0.829975,5,5.234189
0.512805,4,5.3094
-0.5,1,5.376486
-0.5,1,5.44359
0.44922,4,5.514141
-0.5,1,5.576553
-0.5,1,5.638432
-0.5,1,5.700986
0.427978,4,5.76975
-0.5,1,5.831753
-0.5,1,5.894547
0.535568,4,5.963115
-0.5,1,6.025701
-0.5,1,6.087585
-0.5,1,6.148526
1.871835,8,6.225071
-0.5,1,6.287696
0.902482,6,6.360578
-0.176991,2,6.425505
-0.5,1,6.487298
1.85188,8,6.565189
-0.19691,2,6.629526
0.341566,4,6.698032
-0.192845,2,6.76282
0.750631,5,6.833469
-0.5,1,6.895941
-0.166121,2,6.960268
-0.5,1,7.022864
1.14161,6,7.096076
-0.15674,2,7.161537
-0.5,1,7.223671
-0.149788,2,7.288248
-0.165889,2,7.352941
-0.162159,2,7.416605
2.397427,9,7.495516
-0.207417,2,7.560159
0.473919,4,7.632635
-0.5,1,7.703813
-0.153999,2,7.776426
0.103984,3,7.847032
-0.148127,2,7.915019
-0.5,1,7.977577
0.074983,3,8.047072
0.142931,3,8.116448
0.109551,3,8.184154
2.630673,10,8.265899
-0.179787,2,8.33191
0.847502,5,8.404818
-0.5,1,8.467714
-0.5,1,8.535559
-0.138474,2,8.605521
-0.5,1,8.671378
-0.5,1,8.738501
-0.5,1,8.805472
0.478403,4,8.87753
-0.5,1,8.940267
0.488613,4,9.010017
-0.5,1,9.071975
1.453677,7,9.145935
1.710234,8,9.222874
-0.5,1,9.285079
2.445443,10,9.36654
-0.5,1,9.428779
-0.5,1,9.491147
2.743232,11,9.575203
-0.5,1,9.636841
0.408445,4,9.706195
-0.202564,2,9.771378
0.157205,3,9.837975
-0.5,1,9.899329
-0.142876,3,9.966891
-0.5,1,10.030541
-0.5,1,10.093211
-0.160423,2,10.157378
-0.169259,2,10.221094
-0.5,1,10.28314
-0.5,1,10.345374
-0.5,1,10.407338
0.865683,5,10.47964
0.924422,5,10.550956
0.478467,4,10.619145
0.111824,3,10.687927
0.113513,3,10.75407
-0.197059,2,10.817683
-0.5,1,10.878536
0.062849,3,10.944966
-0.152042,2,11.010062
-0.15535,2,11.07579
-0.188689,2,11.139185
0.176555,3,11.205914
-0.5,1,11.267534
-0.159134,2,11.330397
-0.190754,2,11.394005
0.126953,3,11.460426
-0.172202,2,11.526705
0.368043,4,11.59579
-0.5,1,11.657783
0.118409,3,11.725192
0.151592,3,11.791387
0.165602,3,11.857517
-0.5,1,11.919184
-0.5,1,11.981941
0.561459,4,12.050205
-0.5,1,12.112837
1.91135,8,12.189206
-0.5,1,12.25208
-0.5,1,12.31445
1.150137,6,12.38795
-0.164848,2,12.453654
1.604409,8,12.53134
-0.011755,3,12.598275
-0.185244,2,12.662115
0.368955,4,12.729559
0.499734,4,12.798372
-0.5,1,12.859968
-0.175428,2,12.925399
0.118695,3,12.990977
0.678394,5,13.061381
-0.5,1,13.123233
-0.5,1,13.185747
-0.149607,2,13.249439
-0.5,1,13.310557
-0.5,1,13.371663
-0.5,1,13.433085
-0.5,1,13.494961
-0.5,1,13.558989
0.466256,4,13.628194
-0.5,1,13.689857
-0.5,1,13.751324
-0.5,1,13.813459
-0.195467,2,13.877836
-0.5,1,13.939978
-0.192002,2,14.004515
-0.5,1,14.067354
-0.188385,2,14.131516
1.609029,7,14.205882
-0.5,1,14.267887
-0.5,1,14.329022
-0.5,1,14.389538
-0.5,1,14.452317
0.503274,4,14.520832
0.196984,3,14.586841
-0.146778,2,14.651238
-0.5,1,14.712722
-0.5,1,14.775232
-0.5,1,14.837431
0.723336,6,14.909959
0.470073,4,14.980402
-0.5,1,15.042548
1.507999,7,15.116474
-0.5,1,15.179013
0.050277,3,15.245336
0.128306,3,15.311094
-0.5,1,15.372616
-0.153365,2,15.436652
-0.172631,2,15.501352
-0.5,1,15.564399
-0.5,1,15.626106
0.753194,5,15.696132
-0.21286,2,15.76164
-0.5,1,15.822856
-0.5,1,15.884096
-0.5,1,15.945243
-0.191575,2,16.009187
-0.152669,2,16.074411
1.198492,6,16.146319
-0.5,1,16.209244
-0.5,1,16.27034
-0.204464,2,16.333779
0.849593,5,16.403729
-0.159255,2,16.468764
0.39774,4,16.536287
-0.5,1,16.599127
-0.158153,2,16.663773
3.095153,12,16.748988
-0.5,1,16.81152
-0.17968,2,16.875765
0.547373,4,16.943136
0.54751,4,17.01189
-0.5,1,17.075284
0.177153,3,17.142097
0.506436,4,17.210033
-0.156111,2,17.275095
0.43632,4,17.344955
-0.5,1,17.406737
0.152867,3,17.473426
-0.5,1,17.535155
-0.5,1,17.59733
1.606268,7,17.671041
0.687384,5,17.741469
-0.5,1,17.804265
0.461825,4,17.871326
0.213047,3,17.94224
2.746011,11,18.051339
-0.5,1,18.1293
-0.5,1,18.195394
-0.5,1,18.261496
1.619424,7,18.341087
0.218944,3,18.411471
0.455432,4,18.48735
-0.190614,2,18.558762
-0.5,1,18.64956
-0.5,1,18.719112
0.504305,4,18.795798
-0.5,1,18.861296
-0.169707,2,18.941724
0.987149,6,19.020886
0.700184,5,19.099464
-0.5,1,19.162583
-0.5,1,19.224484
-0.20584,2,19.287876
3.321053,12,19.378513
2.266789,9,19.459974
1.447503,7,19.535527
0.125001,3,19.604955
-0.178196,2,19.671005
-0.208296,2,19.736484
-0.5,1,19.799528
-0.173211,2,19.863096
-0.5,1,19.926561
-0.5,1,20.002984
-0.5,1,20.06736
-0.185936,2,20.131308
0.134311,3,20.197346
-0.5,1,20.266805
0.143143,3,20.357098
0.152,3,20.427239
-0.175957,2,20.494072
0.822266,6,20.583882
-0.5,1,20.656196
0.398576,4,20.731496
-0.186119,2,20.834003
1.156818,6,20.91113
-0.5,1,20.979863
-0.183588,2,21.044675
-0.139898,2,21.10938
-0.5,1,21.172101
-0.5,1,21.23406
-0.5,1,21.318686
1.634371,7,21.423246
-0.176106,2,21.497438
-0.157956,2,21.571228
-0.5,1,21.641988
-0.5,1,21.709182
0.217813,3,21.780802
-0.5,1,21.857439
0.407329,4,21.948945
-0.5,1,22.012914
0.13878,3,22.080084
-0.176074,2,22.14646
-0.170639,2,22.219745
0.418334,4,22.299054
-0.5,1,22.366316
-0.5,1,22.428019
-0.5,1,22.490835
-0.5,1,22.554272
-0.5,1,22.616234
1.150774,6,22.690727
0.221867,3,22.759955
1.223868,6,22.83548
0.503168,4,22.903878
-0.205967,2,22.968454
-0.159345,2,23.032282
-0.188828,2,23.096794
-0.5,1,23.161361
-0.5,1,23.226882
-0.5,1,23.296013
0.509418,4,23.365534
-0.5,1,23.427697
0.119658,3,23.495088
-0.5,1,23.558449
0.128445,3,23.631624
0.009794,3,23.703703
0.450254,4,23.774142
-0.5,1,23.839185
0.171796,3,23.904548
-0.170747,2,23.969364
-0.198962,2,24.034217
-0.17611,2,24.098243
-0.187634,2,24.161974
-0.5,1,24.223573
-0.179099,2,24.292544
0.177307,3,24.359217
-0.5,1,24.424197
-0.5,1,24.486636
0.97995,6,24.562444
-0.180807,2,24.628325
0.388168,4,24.696672
-0.5,1,24.759815
-0.182841,2,24.830634
0.167542,3,24.89986
1.153315,6,24.978696
0.547546,4,25.048594
0.893909,5,25.120494
0.811138,5,25.194093
0.177321,3,25.264312
-0.5,1,25.328545
-0.172594,2,25.393377
0.745006,5,25.47391
1.381609,7,25.55481
-0.180891,2,25.621107
-0.156695,2,25.685609
-0.5,1,25.751827
-0.5,1,25.820635
-0.173446,2,25.887458
-0.5,1,25.950227
0.038628,3,26.021968
0.788206,5,26.103866
-0.16208,2,26.17653
-0.5,1,26.24184
-0.5,1,26.309255
-0.5,1,26.38015
-0.5,1,26.444858
3.078649,12,26.533235
-0.5,1,26.601597
-0.162294,2,26.675069
-0.5,1,26.740562
-0.5,1,26.803757
-0.190594,2,26.874838
-0.187976,2,26.944904
-0.1583,2,27.013754
0.772433,5,27.085505
0.12922,3,27.156556
-0.173451,2,27.229367
-0.5,1,27.295562
-0.176871,2,27.359971
0.173483,3,27.429656
0.170031,3,27.499251
1.193626,6,27.57442
-0.5,1,27.638481
-0.184891,2,27.707171
-0.173811,2,27.775483
-0.5,1,27.848024
-0.5,1,27.911904
0.163785,3,27.979041
-0.5,1,28.045737
-0.5,1,28.109569
-0.5,1,28.174991
1.398144,7,28.252147
0.543792,4,28.325386
0.15443,3,28.398571
0.183633,3,28.469259
-0.179921,2,28.535298
0.19803,3,28.601256
-0.5,1,28.664959
